#,Address,WL,Public,$BLOBZ
2,0x1A01e529c5910be6885AebB67c3E2B0063132669,5,5,5000000
2,0x1A5F6f16B81627fF22C36614D7ba59A4EFC2E206,5,5,5000000
2,0x1ABa64C3535dD573ddAC5B922ee61E158B99F1B8,5,5,5000000
2,0x1aBbaEFbFBcfa6480F0850F838838C04616d3B46,5,5,5000000
2,0x1aBDA7da6093D9EfC24F6116Bc7e49cDb1808a31,5,5,5000000
2,0x1B081542303d27A705Fcff9512b45c58dd7dC4a9,5,5,5000000
2,0x1B09002ec1B5CE94A79547139Dc44769A2393A35,5,5,5000000
2,0x1B274eaCc333F4a904D72b576B55A108532aB379,5,5,5000000
2,0x1b27B3D405eB29e255CB004e34Fd86f2803170f2,5,5,5000000
2,0x1B2Ee83fb043a482f6012997C1192985749f5e31,5,5,5000000
2,0x1b7C3035585431dc428be200d00536f045A26725,5,5,5000000
2,0x1baBb042DdCCA9064eB01A054BcdbF5ceb102592,5,5,5000000
2,0x1Be49f4c800ec9DE69D3D906ADC995c52B9A23D5,5,5,5000000
2,0x1c50953259FdA471F4d8cEB1dd2BB296105c9b32,5,5,5000000
2,0x1C670dc214de4819730e7305703ec8C986B8C7fc,5,5,5000000
2,0x1c850d2bB346DA12f92FC06A8272274dd5EBBC3D,5,5,5000000
2,0x1cc42446804338f73C9cBa99B5a0e0A695fe1074,5,5,5000000
2,0x1ceB4110A956F29ea04bbdB599eCe5520C61F712,5,5,5000000
2,0x1d1DC008ef7E70acc6251858710fE2C7D4e8e431,5,5,5000000
2,0x1d1eC8969BD49833b6512483A75c62Fa98621e8b,5,5,5000000
2,0x1d2622961ef6997Deb6B4Ffd3a81627A3Fdc13A5,5,5,5000000
2,0x1D54eE6c2e15B168F35a578Ca2BCf49F6A46c473,5,5,5000000
2,0x1d6fc8DF2fCc40474D55a42d1c04FCD9be9941ef,5,5,5000000
2,0x1d722F6a1FBD9378Fc04e91c3DfC16B6fE9d1e01,5,5,5000000
2,0x1db5Fd3c59e8A3723AB3F044304fDBfE6Dc4Aaba,5,5,5000000
2,0x1De37833529B3Ef0bAD542Aa841E647398A3Ea03,5,5,5000000
2,0x1De956c7aC4fFc0744Df5ec9b4751ccF8cAA5568,5,5,5000000
2,0x1e0a32F18c1E75BE00B2A2D118d5278714755D17,5,5,5000000
2,0x1E4Ac0F985f910EC7AB29B49284870aDCab3731F,5,5,5000000
2,0x1eB4F5aE6E14F6376b7175656994F58ceA565C0d,5,5,5000000
2,0x1EC2ff7A371fAb19bEf62a5f285FB09bF88C904C,5,5,5000000
2,0x1ed019688EA7268F86E7E8c1cAe91d87DBd25aE0,5,5,5000000
2,0x1ee3d743aD6d372ceaDf17a8f4432e8d1c8AA0D5,5,5,5000000
2,0x1F1948894F6c7619fe9a5d305ce0bB4EcEd7e375,5,5,5000000
2,0x1F27b0482ace1B82cf7A4f0c55dfc2A05dfCfD75,5,5,5000000
